"Price","Name","Rooms","Area","Floor","Region","Year","Elevator"
"529 000 zł","***Lwowska, 3 pok., 1,50km od Medycznego***","3 pokoje","47.36 m²","1 piętro","Kalinowszczyzna","1970","tak"
"717 000 zł","***Czuby, do wejścia, 3 pokoje, dla rodziny***","3 pokoje","56.42 m²","1 piętro","Węglin Południowy","2024","tak"
"572 032 zł","Wojciechowska Square | mieszkanie 44","3 pokoje","52.48 m²","6 piętro","Konstantynów","2025","tak"
"375 000 zł","Wieniawa - Popiełuszki 35 Idealne pod wynajem !","3 pokoje","44.2 m²","1 piętro","Wieniawa","1980","tak"
"419 950 zł","Mieszkanie dla rodziny lub pod inwestycje","3 pokoje","37 m²","2 piętro","Tatary","1980","tak"
"728 500 zł","Idealne mieszkanie 4 Pokoje ! 2 balkony ! Okazja","4 pokoje","77.5 m²","3 piętro","Czechów Północny","2025","tak"
"529 000 zł","3 Pok. 48 m2 Kalinowszczyzna Rezerwacja","3 pokoje","48 m²","1 piętro","Kalinowszczyzna","1978","tak"
"701 370 zł","Jemiołuszki Park| mieszkanie 4-pok. | M43","4 pokoje","65.61 m²","3 piętro","Węglin Południowy","brak informacji","nie"
"620 000 zł","Mega lokalizacja Ul. Obywatelska 3 pokoje","3 pokoje","64 m²","4 piętro","Stare Miasto","1995","nie"
"Zapytaj o cenę","Osiedle Daliowa II - 3P+AK","3 pokoje","49.16 m²","3 piętro","Ponikwoda","2024","tak"
"566 004 zł","Koncertowe Wzgórze | mieszkanie 3-pok. | B2_10","3 pokoje","57.23 m²","1 piętro","Czechów Północny","brak informacji","nie"
"402 896 zł","Diamentowe Tarasy | nowoczesne mieszkanie C/M39","2 pokoje","40.33 m²","1 piętro","Wrotków","brak informacji","nie"
"470 080 zł","Bez Prowizji Czechów ! 100 Mieszkań ! Okazja","2 pokoje","41.6 m²","3 piętro","Czechów Południowy","2025","tak"
"728 500 zł","Idealne mieszkanie 4 Pokoje ! 2 balkony ! Okazja","4 pokoje","77.5 m²","1 piętro","Czechów Północny","2025","tak"
"506 480 zł","Bez Prowizji Czechów ! 100 Mieszkań ! Okazja","2 pokoje","48.7 m²","parter","Czechów Południowy","2025","tak"
"472 500 zł","Bez Prowizji Czechów ! 100 Mieszkań ! Okazja","2 pokoje","45 m²","parter","Czechów Południowy","2025","tak"
"890 000 zł","Dwupoziomowe mieszkanie z antresolą w Centrum","4 pokoje","120 m²","4 piętro","Śródmieście","1934","nie"
"660 000 zł","Przestronne mieszkanie w nowoczesnej dzielnicy","3 pokoje","60.26 m²","parter","Węglin Południowy","2013","tak"
"592 200 zł","Mieszkanie 63 m2, Lublin Felin, 3 pokoje","3 pokoje","63 m²","parter","Felin","1993","nie"
"629 000 zł","Słoneczne wyposażone 3 pokoje - Zalew Zemborzycki","3 pokoje","59.88 m²","3 piętro","Wrotków","2013","nie"
"445 000 zł","Dwu pokojowe mieszkanie z możliwością trzeciego po","3 pokoje","45.8 m²","","Rury","1969","tak"
"539 000 zł","Mieszkanie idealne dla rodziny z dziećmi","3 pokoje","62.1 m²","6 piętro","Czechów Północny","1979","tak"
"375 000 zł","Przytulne mieszkanie na nowoczesnym osiedlu","2 pokoje","30 m²","parter","Wrotków","2024","tak"
"Zapytaj o cenę","Mieszkanie M26, 65,37 mkw, 2 pokoje+aneks","2 pokoje","64.74 m²","parter","Kalinowszczyzna","2024","tak"
"389 150 zł","Active City | mieszkanie 2-pok. | B3_3_19","2 pokoje","36.2 m²","3 piętro","Wrotków","2026","nie"
"Zapytaj o cenę","2-pokojowe mieszkanie 38m2 + balkon Bez Prowizji","2 pokoje","38.53 m²","5 piętro","Ponikwoda","2026","tak"
"495 553 zł","Nowe Mieszkania, Aleja Spółdzielczości Pracy","2 pokoje","35.78 m²","1 piętro","Ponikwoda","2026","tak"
"945 000 zł","Apartamentowiec, 3 pokoje, do wejścia","3 pokoje","62 m²","5 piętro","Rury","2018","tak"
"659 000 zł","Przestronne 3pok. mieszkanie na Czubach!","3 pokoje","62.8 m²","parter","Węglin Południowy","2011","nie"
"675 000 zł","Mieszkania Na 2024 Rok","3 pokoje","69.15 m²","1 piętro","Czechów Północny","2024","tak"
"350 000 zł","Kawalerka w swietnej lokalizacji.","1 pokój","31.72 m²","2 piętro","Bronowice","1962","nie"
"440 580 zł","Jedno Z Ostatnich Mieszkań O Pow. Do 40 Mkw.","2 pokoje","41.96 m²","1 piętro","Ponikwoda","2025","tak"
"520 000 zł","Mieszkania Na 2024 Rok","2 pokoje","43.09 m²","3 piętro","Czechów Północny","2025","tak"
"581 305 zł","Rabat 15 Tyś. Złotych Na Mieszkanie Z Miejscem","3 pokoje","61.19 m²","3 piętro","Dziesiąta","2023","tak"
"499 000 zł","Mieszkanie Przy Alei Spółdzielczości Pracy","2 pokoje","42.43 m²","parter","Ponikwoda","2026","nie"
"529 000 zł","3 Pok. 48 m2 Kalinowszczyzna Rezerwacja","3 pokoje","48 m²","1 piętro","Kalinowszczyzna","1978","tak"
"499 900 zł","Atrakcyjne Mieszkanie Blisko Centrum Lublina","3 pokoje","46.57 m²","1 piętro","Bronowice","brak informacji","nie"
"385 000 zł","Mieszkanie Kalinowszczyzna Kleeberga 2 pokoje 33m2","2 pokoje","32.3 m²","parter","Kalinowszczyzna","1973","nie"
"617 100 zł","Mieszkanie nr 8","1 pokój","37.4 m²","2 piętro","Śródmieście","2025","tak"
"407 433 zł","Koncertowe Wzgórze | mieszkanie 1-pok. | B1_71","1 pokój","33.7 m²","3 piętro","Czechów Północny","brak informacji","nie"
"392 806 zł","Diamentowe Tarasy | komfortowe mieszkanie D/M14","2 pokoje","39.32 m²","1 piętro","Wrotków","brak informacji","nie"
"552 073 zł","Jemiołuszki Park| mieszkanie 3-pok. | M26","3 pokoje","48.47 m²","parter","Węglin Południowy","brak informacji","nie"
"725 000 zł","65m2 Sławin. Dwa miejsca postojowe w cenie!","3 pokoje","65 m²","1 piętro","Sławin","2007","tak"
"549 000 zł","Do wejścia 2 pokoje, nowe budownictwo","2 pokoje","42.77 m²","2 piętro","Węglin Południowy","2019","tak"
"649 000 zł","Mieszkanie 52m2 2 pok. Sławin.","2 pokoje","52 m²","5 piętro","Sławin","2018","tak"
"Zapytaj o cenę","Nova Daliova | mieszkanie 2-pok. | B2.11","2 pokoje","38.58 m²","1 piętro","Ponikwoda","2025","tak"
"600 000 zł","Przestronne Mieszkanie Idealne Dla Rodzin 3-Pokoje","3 pokoje","68.59 m²","1 piętro","Wrotków","1978","tak"
"690 000 zł","Trzy oddzielne pokoje, duży balkon","3 pokoje","64 m²","3 piętro","Węglin Południowy","2011","nie"
"639 000 zł","3 Pokojowe Mieszkanie Na Bronowicach Blok 2018","3 pokoje","49.86 m²","2 piętro","Bronowice","2018","tak"
"650 000 zł","Przestronne mieszkanie blisko starego miasta","4 pokoje","70 m²","parter","Kalinowszczyzna","1990","nie"
"805 212,50 zł","Czuby-stan deweloperski-3 pokoje(możliwe nawet4-5)","3 pokoje","87.05 m²","parter","Czuby Północne","2023","tak"
"379 000 zł","Lsm, 49m2, mieszkanie do remontu na sprzedaż","2 pokoje","48.9 m²","4 piętro","Rury","1960","nie"
"601 680 zł","Lublin Osiedle Koncertowa/3 pokoje/Czechów","3 pokoje","65.4 m²","parter","Czechów Północny","2022","nie"
"639 000 zł","Nowe bud. 50m2, 3pok. Duży Balkon, Bronowice","3 pokoje","49.86 m²","2 piętro","Bronowice","2018","tak"
"920 000 zł","***4 kawalerki, gotowa inwestycja, wynajęte!***","4 pokoje","68.59 m²","parter","Kośminek","1900","nie"
"465 000 zł","Przestronne, przytulne, mieszkanie 3-pokojowe, ul.","3 pokoje","54.25 m²","4 piętro","Rury","1980","nie"
"920 000 zł","Inwestycja Mikro Kawalerki","4 pokoje","68.59 m²","parter","Kośminek","1920","nie"
"621 810 zł","Perspektywa Czechów ul. Wojtasa/59 m2 - 3-pokoje","3 pokoje","59.22 m²","6 piętro","Czechów Północny","2026","tak"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 3-pok. | C_33","3 pokoje","56.13 m²","1 piętro","Ponikwoda","2026","tak"
"439 000 zł","Mieszkanie, 48,30 m², Lublin","3 pokoje","48.3 m²","8 piętro","Czechów Południowy","brak informacji","tak"
"650 000 zł","Słoneczne trzypokojowe mieszkanie, Wrotków","3 pokoje","69 m²","1 piętro","Wrotków","1978","tak"
"774 000 zł","Węglin/Trzy pokoje/Brak PCC","3 pokoje","56.89 m²","2 piętro","Węglin Południowy","2024","tak"
"708 718 zł","Apartamenty ! Uniwersytet Medyczny ! Centrum","3 pokoje","65.02 m²","1 piętro","Śródmieście","brak informacji","tak"
"431 200 zł","Bez Prowizji Czechów ! 100 Mieszkań ! Okazja 25Rok","2 pokoje","39.2 m²","3 piętro","Czechów Południowy","2025","tak"
"574 057 zł","Apartamenty ! Uniwersytet Medyczny ! Centrum","2 pokoje","45.38 m²","1 piętro","Śródmieście","brak informacji","tak"
"574 057 zł","Uniwersytet Medyczny ! Najlepsza Lokalizacja !","2 pokoje","45.38 m²","1 piętro","Śródmieście","brak informacji","tak"
"677 970 zł","Active City | mieszkanie 4-pok. | B3_2_53","4 pokoje","72.9 m²","2 piętro","Wrotków","2026","nie"
"708 540 zł","Active City etap V  | mieszkanie 4-pok. | A3_4_28","4 pokoje","72.3 m²","4 piętro","Wrotków","2026","tak"
"407 433 zł","Koncertowe Wzgórze | mieszkanie 1-pok. | B1_71","1 pokój","33.7 m²","3 piętro","Czechów Północny","brak informacji","nie"
"575 000 zł","Właściciel Sprzedaje Mieszkanie Lublin Rury","3 pokoje","61.2 m²","5 piętro","Rury","brak informacji","nie"
"585 600 zł","Mieszkanie 3 pokojowe","3 pokoje","62.97 m²","1 piętro","Kośminek","brak informacji","nie"
"475 380 zł","41,70 M2 - Zielone Tarasy Botanik ** Przedsprzedaż","2 pokoje","41.7 m²","1 piętro","Sławin","2026","tak"
"449 000 zł","Dwa Pokoje, Do Wejścia , Felin","2 pokoje","31 m²","5 piętro","Felin","2024","tak"
"678 600 zł","Wykończone 3-Pokoje Parter","3 pokoje","56.54 m²","parter","Kośminek","2024","tak"
"550 000 zł","2 pok. Czuby 49m2 mieszkanie do wejścia!","2 pokoje","49 m²","2 piętro","Czuby Południowe","1998","nie"
"624 900 zł","3 pokojowe gotowe do zamieszkania, ul. Radości 4","3 pokoje","65 m²","6 piętro","Czuby Północne","1983","tak"
"899 000 zł","Idealne mieszkanie dla rodziny o pow. 78,5m2","4 pokoje","78.47 m²","1 piętro","Węglin Południowy","2017","tak"
"407 592 zł","Diamentowe Tarasy | przestronne mieszkanie D/M12","2 pokoje","40.8 m²","1 piętro","Wrotków","brak informacji","nie"
"404 973 zł","Jemiołuszki Park| mieszkanie 2-pok. | M28","2 pokoje","34.06 m²","parter","Węglin Południowy","brak informacji","nie"
"465 850 zł","Perspektywa Czechów ul. Wojtasa/42,35 m2 - 2pokoje","2 pokoje","42.35 m²","2 piętro","Czechów Północny","2026","tak"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 3-pok. | C_56","3 pokoje","51.19 m²","2 piętro","Ponikwoda","2026","tak"
"Zapytaj o cenę","Nowa inwestycja w centrum Lublina","3 pokoje","61.95 m²","4 piętro","Śródmieście","2026","tak"
"Zapytaj o cenę","Osiedle Narcyzowe | mieszkanie 2-pok. N4_46","2 pokoje","43.01 m²","parter","Ponikwoda","brak informacji","tak"
"483 000 zł","Mieszkanie deweloperskie- Węglin Północny.","2 pokoje","49.28 m²","3 piętro","Węglin Południowy","brak informacji","tak"
"550 000 zł","Zadbane 3-pok mieszkanie z garażem, os. Choiny","3 pokoje","63.8 m²","1 piętro","Czechów Północny","1992","nie"
"499 000 zł","Pierwsze piętro, niski blok","2 pokoje","51.2 m²","1 piętro","Czechów Północny","1995","nie"
"469 000 zł","3 pokoje, bezpośrednio przy Miasteczku Akademickim","3 pokoje","47.87 m²","3 piętro","Wieniawa","1970","nie"
"530 176 zł","Ostatnie mieszkania 48/58mkw - Okazja !","3 pokoje","48.64 m²","3 piętro","Wrotków","2024","tak"
"530 176 zł","Ostatnie mieszkania 48/58mkw - Okazja !","3 pokoje","48.64 m²","3 piętro","Wrotków","2024","tak"
"479 000 zł","Dwa pokoje gotowe do zamieszkania","2 pokoje","49.06 m²","2 piętro","Czuby Północne","1998","nie"
"410 500 zł","***2 pokoje, Czuby, stan deweloperski***","2 pokoje","31.8 m²","parter","Węglin Południowy","2024","tak"
"649 000 zł","LSM, Przestronne 4 pokoje, blok 1991 rok !","4 pokoje","71 m²","3 piętro","Rury","1991","nie"
"549 000 zł","Mieszkanie, 56 m², Lublin","2 pokoje","56 m²","2 piętro","Wieniawa","1964","nie"
"349 000 zł","Dziesiąta, 2 Pokoje Do Remontu","3 pokoje","48.79 m²","2 piętro","Dziesiąta","1918","nie"
"510 000 zł","*Lsm*os.Mickiewicza*po remoncie*duży balkon*","2 pokoje","47 m²","1 piętro","Rury","1959","nie"
"679 000 zł","4 Pokoje Sławinek","4 pokoje","87.2 m²","parter","Sławin","1992","nie"
"559 000 zł","Mieszkanie 2-pokojowe przy ul Gęsiej, z garażem","2 pokoje","55 m²","1 piętro","Węglin Południowy","2014","tak"
"399 000 zł","2 duże pokoje, miejsce parkingowe","2 pokoje","49 m²","4 piętro","Bronowice","1990","nie"
"584 000 zł","Śródmieście, ul. Kościelna- 3 pokoje do wejścia","3 pokoje","61.01 m²","2 piętro","Kośminek","1994","nie"
"Zapytaj o cenę","Osiedle Daliowa II - 2P+AK","2 pokoje","49.36 m²","1 piętro","Ponikwoda","2024","tak"
"598 461 zł","Felin Park II | mieszkanie 3-pok. | M19","3 pokoje","64.42 m²","parter","Kośminek","2025","tak"
"464 000 zł","Wieniawa Al. Racławickie, 46,42,M². Wysoki Parter.","2 pokoje","46.42 m²","parter","Wieniawa","1953","nie"
"548 000 zł","Mieszkanie 2 Pokoje ***Wrotków***","3 pokoje","49 m²","2 piętro","Wrotków","2013","tak"
"599 000 zł","Mieszkanie, Lublin, Sławin, 3pok, 55m2","3 pokoje","55 m²","1 piętro","Sławin","2014","nie"
"449 000 zł","Dwa Pokoje, Do Wejścia , Felin","2 pokoje","31 m²","5 piętro","Felin","2024","tak"
"649 900 zł","Piękne mieszkanie w Centrum Lublina","3 pokoje","50 m²","2 piętro","Śródmieście","brak informacji","nie"
"349 000 zł","Przytulna kawalerka - LSM - Po generalnym remoncie","1 pokój","20 m²","3 piętro","Rury","1970","tak"
"369 000 zł","Po remoncie, niski czynsz, Wykończone Czechów","1 pokój","26.5 m²","7 piętro","Czechów Północny","1980","tak"
"563 000 zł","Śródmieście, 2 pokoje - świetna lokalizacja.","2 pokoje","52 m²","3 piętro","Śródmieście","1963","nie"
"630 000 zł","ATRAKCYJNE 4-pokojowe mieszkanie dla dużej rodziny","4 pokoje","71.46 m²","1 piętro","Bronowice","1990","tak"
"439 000 zł","2-Pokojowe Mieszkanie W Dzielnicy Czechów...","2 pokoje","57.3 m²","parter","Czechów Południowy","1990","nie"
"441 210 zł","Perspektywa Czechów ul. Wojtasa/40 m2 - 2-pokoje","2 pokoje","40.11 m²","2 piętro","Czechów Północny","2026","tak"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 3-pok. | C_47","3 pokoje","62.21 m²","2 piętro","Ponikwoda","2026","tak"
"Zapytaj o cenę","REZERWACJA Nowa inwestycja w Śródmieściu Lublina","1 pokój","25.74 m²","parter","Śródmieście","2026","tak"
"Zapytaj o cenę","Osiedle Narcyzowe | mieszkanie 3-pok. N4_81","3 pokoje","60.84 m²","3 piętro","Ponikwoda","brak informacji","tak"
"419 626 zł","Felin Park II | mieszkanie 2-pok. | M3","2 pokoje","40.78 m²","parter","Kośminek","2025","tak"
"532 398 zł","Nova Daliova | mieszkanie 3-pok. | B2.44","3 pokoje","59.82 m²","2 piętro","Ponikwoda","2025","tak"
"629 000 zł","3 pokoje z garderobą - Botanik","3 pokoje","67 m²","3 piętro","Sławin","2010","nie"
"Zapytaj o cenę","Osiedle Daliowa II - 3P+AK","3 pokoje","52.3 m²","parter","Ponikwoda","2024","tak"
"Zapytaj o cenę","B3 Mieszkanie nr 30","1 pokój","28.01 m²","1 piętro","Czechów Północny","2026","tak"
"Zapytaj o cenę","Domy i mieszkania - Elizówka Park A8","4 pokoje","72.82 m²","parter","Czechów Północny","2026","nie"
"Zapytaj o cenę","Nowe mieszkanie w inw. Rezydencja Chabrowa | B.M12","3 pokoje","67.02 m²","1 piętro","Sławin","2022","tak"
"470 000 zł","Mieszkanie, Lublin ul. Bursztynowa","2 pokoje","47.8 m²","2 piętro","Czuby Południowe","1990","nie"
"239 000 zł","Mieszkanie 33 M2, Lublin Dziesiąta","2 pokoje","33.69 m²","parter","Dziesiąta","1908","nie"
"569 000 zł","Nowe Widne Dwa pokoje","2 pokoje","44.9 m²","3 piętro","Węglin Południowy","2024","tak"
"995 000 zł","Duże 4-pokojowe mieszkanie z klimatyzacją","4 pokoje","75.7 m²","5 piętro","Ponikwoda","2016","tak"
"410 000 zł","3 pokoje 48.20 m2 1 piętro z balkonem. Bronowice.","3 pokoje","48.2 m²","","Kośminek","1965","nie"
"759 000 zł","4 pokoje, Onyksowa","4 pokoje","66.69 m²","4 piętro","Węglin Południowy","brak informacji","tak"
"598 345 zł","Botanik, 3 pokoje, 52m2, balkon 15m2, 2027r.","3 pokoje","52.03 m²","1 piętro","Sławin","2027","tak"
"633 944 zł","Botanik, 3 pokoje, 58m2, balkon 21m2, 2027r.","3 pokoje","58.16 m²","2 piętro","Sławin","2027","tak"
"1 099 000 zł","Do wejścia Centrum Litevski Residence !!","2 pokoje","63 m²","1 piętro","Śródmieście","2022","nie"
"563 000 zł","Śródmieście, 2 pokoje - świetna lokalizacja.","2 pokoje","52 m²","3 piętro","Śródmieście","1963","nie"
"767 000 zł","4 Pokoje-Centrum, Wieniawa,Widok na Panoramę Miast","4 pokoje","63.79 m²","9 piętro","Wieniawa","1977","tak"
"579 900 zł","Sławin, Botanik 51 m2 garaż 3 pokoje deweloperski","3 pokoje","51.45 m²","2 piętro","Sławin","2025","tak"
"639 000 zł","Atrakcyjne Mieszkanie Bardzo Blisko Centrum Lubli","4 pokoje","59 m²","4 piętro","Kalinowszczyzna","brak informacji","tak"
"480 220 zł","Botanik, kawalerka, 37m2, ogródek 83m2, 2027r.","1 pokój","36.94 m²","parter","Sławin","2027","tak"
"494 328 zł","Botanik, 2 pokoje, 39m2, ogródek 33m2, 2027r.","2 pokoje","38.32 m²","parter","Sławin","2027","tak"
"469 000 zł","Dwa Pokoje Do Wejścia W Ścisłym Centrum Miasta!","2 pokoje","39.79 m²","3 piętro","Śródmieście","2012","nie"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 2-pok. | C_53","2 pokoje","39.44 m²","2 piętro","Ponikwoda","2026","tak"
"Zapytaj o cenę","Apartament z dużym ogródkiem w Śródmieściu Lublina","3 pokoje","52.64 m²","parter","Śródmieście","2026","tak"
"Zapytaj o cenę","Osiedle Narcyzowe | mieszkanie 2-pok. N5_25","2 pokoje","55.04 m²","parter","Ponikwoda","brak informacji","tak"
"416 950 zł","Felin Park II | mieszkanie 2-pok. | M2","2 pokoje","40.52 m²","parter","Kośminek","2025","tak"
"Zapytaj o cenę","B3 Mieszkanie nr 28","3 pokoje","52.11 m²","1 piętro","Czechów Północny","2026","tak"
"Zapytaj o cenę","Domy i mieszkania - Elizówka Park A6","3 pokoje","60.36 m²","suterena","Czechów Północny","2026","nie"
"Zapytaj o cenę","Nowe mieszkanie w inw. Rezydencja Chabrowa | A.M7","3 pokoje","59.68 m²","1 piętro","Sławin","2022","tak"
"880 000 zł","100m mieszkanie obok Umcs - idealne na wynajem","5 pokoi","100.56 m²","2 piętro","Śródmieście","1938","nie"
"471 632 zł","Negocjuj 2 Pokoje Ponikowda Olimp","2 pokoje","42.11 m²","1 piętro","Ponikwoda","2026","tak"
"479 000 zł","Botanik, 2 pokoje, 39m2, II piętro, 2027r.","2 pokoje","38.32 m²","2 piętro","Sławin","2027","tak"
"239 000 zł","Mieszkanie Inwestycyjne Z Potencjałem34M","2 pokoje","33.69 m²","1 piętro","Dziesiąta","1908","nie"
"890 000 zł","Nowoczesne dwupokojowe mieszkanie, Hvile Park","2 pokoje","52 m²","2 piętro","Szerokie","2024","tak"
"479 640 zł","Idealny Apartament Okazja ! 2024 rok ! Grudzień !","2 pokoje","45.68 m²","2 piętro","Kośminek","2024","tak"
"670 000 zł","Mieszkanie dwupoziomowe, Lublin, Dziesiąta","4 pokoje","96 m²","3 piętro","Dziesiąta","1995","nie"
"350 000 zł","Dwa pokoje 42.50 m2 4 piętro z balkonem. Felin.","2 pokoje","42.5 m²","4 piętro","Felin","1996","nie"
"399 000 zł","Mieszkanie dwa pokoje na Tatarach ul. Motorowa","3 pokoje","44 m²","","Tatary","brak informacji","nie"
"389 000 zł","Kawalerka dla pary Czechów parter 41m","1 pokój","41.6 m²","parter","Czechów Południowy","2008","nie"
"Zapytaj o cenę","Osiedle Daliowa II - 2P+AK","2 pokoje","49.36 m²","3 piętro","Ponikwoda","2024","tak"
"545 000 zł","Czechów 3 pokojowe - możliwość wydzielenia 4, 60m2","3 pokoje","60.9 m²","4 piętro","Czechów Południowy","1977","tak"
"490 000 zł","Chcesz Kupić Mieszkanie w Dobrej Lokalizacji?  3-p","3 pokoje","56 m²","1 piętro","Rury","1960","nie"
"539 448 zł","Kunickiego 28 - os. Metropol Mieszkanie 1 w B2","3 pokoje","64.22 m²","parter","Dziesiąta","brak informacji","nie"
"308 400 zł","Lokal Studencki - Aura II Bud.4 - 30 m2","2 pokoje","30.84 m²","4 piętro","Kośminek","2024","tak"
"396 500 zł","Niesamowite mieszkanie dostępne na 2024 Rok !","1 pokój","31.72 m²","2 piętro","Śródmieście","2024","tak"
"899 000 zł","3 - 4 pokojowe do wprowadzenia - winda","4 pokoje","81.15 m²","3 piętro","Sławin","2011","tak"
"442 000 zł","Chodźki Residence Dostępne Od Zaraz","2 pokoje","35.95 m²","5 piętro","Czechów Południowy","2024","tak"
"440 100 zł","2 pokoje z południowym balkonem! Lsm","2 pokoje","48.9 m²","4 piętro","Rury","1960","nie"
"480 220 zł","Botanik, kawalerka, 37m2, ogródek 83m2, 2027r.","1 pokój","36.94 m²","parter","Sławin","2027","tak"
"520 000 zł","Duże mieszkanie - niskie koszty, piwnica, parking","2 pokoje","44.8 m²","4 piętro","Wrotków","2003","nie"
"439 200 zł","Najlepsza Oferta W Lublinie ! - Okazja ! Garaż 0Zł","2 pokoje","40 m²","2 piętro","Śródmieście","2026","tak"
"559 000 zł","Sprzedam Lublin,LSM-Oś.Piastowskie,54 m2,3 pokoje","3 pokoje","54 m²","1 piętro","Rury","1970","tak"
"489 000 zł","Na Sprzedaż Kawalerka W Nowym Budownictwie,","1 pokój","34.48 m²","3 piętro","Bronowice","2013","tak"
"699 000 zł","Na sprzedaż, 2 pokoje, wysoki standard, Okazja!","2 pokoje","62 m²","4 piętro","Śródmieście","1912","nie"
"756 000 zł","Jasne, 3pokojowe mieszkanie na Wrotkowie (os. Rega","3 pokoje","57 m²","1 piętro","Wrotków","2020","tak"
"530 800 zł","Lokal Mieszkalno-Usługowy","2 pokoje","36.61 m²","1 piętro","Czechów Południowy","2024","tak"
"655 000 zł","Mieszkanie, 73,70 m², Lublin","4 pokoje","73.7 m²","3 piętro","Czechów Południowy","1980","nie"
"619 000 zł","Mieszkanie z pięknym widokiem ul Wędrowna","2 pokoje","49.88 m²","4 piętro","Sławin","2019","tak"
"390 000 zł","2 Pok. 43 m2 1 Piętro 2001 r. ul. Nowy Świat","2 pokoje","43 m²","1 piętro","Dziesiąta","2001","nie"
"670 000 zł","Mieszkanie dwupiętrowe, bezczynszowe, Dziesiąta","4 pokoje","96 m²","2 piętro","Śródmieście","1996","nie"
"423 000 zł","2 pok. mieszkanie z ogródkiem!- Węglin Północny.","2 pokoje","43.12 m²","parter","Węglin Południowy","brak informacji","tak"
"605 420 zł","Osiedle Koncertowa Dolina | mieszkanie 3-pok. | 88","3 pokoje","56.36 m²","3 piętro","Czechów Północny","brak informacji","tak"
"506 000 zł","Active City etap V  | mieszkanie 3-pok. | A3_1_11","3 pokoje","50.6 m²","1 piętro","Wrotków","2026","tak"
"Zapytaj o cenę","Apartament z ogródkiem w Śródmieściu Lublina","1 pokój","36.94 m²","parter","Śródmieście","2026","tak"
"Zapytaj o cenę","Osiedle Narcyzowe | mieszkanie 3-pok. N4_16","3 pokoje","53.96 m²","parter","Ponikwoda","brak informacji","tak"
"559 440 zł","Felin Park II | mieszkanie 3-pok. | M8","3 pokoje","56 m²","1 piętro","Kośminek","2025","tak"
"Zapytaj o cenę","B3 Mieszkanie nr 4","1 pokój","30.4 m²","1 piętro","Czechów Północny","2026","tak"
"Zapytaj o cenę","Domy i mieszkania - Elizówka Park A4","2 pokoje","36.36 m²","suterena","Czechów Północny","2026","nie"
"Zapytaj o cenę","Revita 21 | mieszkanie 2-pok. | 15","2 pokoje","51.09 m²","2 piętro","Stare Miasto","2025","nie"
"625 540 zł","Dwupokojowe mieszkanie na Wrotkowie w Lublinie","2 pokoje","45.66 m²","4 piętro","Wrotków","2020","tak"
"427 000 zł","Mieszkanie świeżo po remoncie idealne pod wynajem!","3 pokoje","44.5 m²","3 piętro","Tatary","1971","tak"
"229 000 zł","34 metry, pełna własność, pilnie sprzedam!","2 pokoje","34 m²","parter","Dziesiąta","1908","nie"
"435 000 zł","Ponikwoda, Mieszkanie Do Wykończenia.","2 pokoje","33.97 m²","3 piętro","Ponikwoda","2024","tak"
"239 000 zł","33,69 m2 - Parter - blisko Centrum !!!","2 pokoje","33.69 m²","parter","Dziesiąta","1908","nie"
"403 000 zł","Dwa pokoje/Oddane/Super widok/Felin","2 pokoje","30.93 m²","8 piętro","Felin","2023","tak"
"664 000 zł","Nowy Felin/3 pokoje/Dwa balkony","3 pokoje","53.89 m²","3 piętro","Felin","2022","nie"
"550 000 zł","Lublin | Mieszkanie 4 pokojowe | Bezpośrednio","4 pokoje","57.9 m²","4 piętro","Kalinowszczyzna","1980","nie"
"686 755 zł","Osiedle Daliowa II - 4P+AK","4 pokoje","72.29 m²","3 piętro","Ponikwoda","2024","tak"
"269 000 zł","2 Pokoje 36,15 m2, niski blok, Tatary","2 pokoje","36.15 m²","4 piętro","Tatary","1966","nie"
"Zapytaj o cenę","Nowe mieszkanie w inw. Rezydencja Chabrowa | B.M11","3 pokoje","67.58 m²","1 piętro","Sławin","2022","tak"
"500 000 zł","Mieszkanie, 40 m², Lublin","1 pokój","40 m²","","Śródmieście","brak informacji","nie"
"433 000 zł","2 pokojowe mieszkanie- Węglin Północny","2 pokoje","44.11 m²","parter","Węglin Południowy","brak informacji","tak"
"514 000 zł","Mieszkanie w stanie deweloperskim- Węglin Północny","2 pokoje","52.37 m²","2 piętro","Węglin Południowy","brak informacji","tak"
"585 000 zł","Mieszkanie na osiedlu Marina Zielone Tarasy Lublin","2 pokoje","44.25 m²","2 piętro","Wrotków","2018","tak"
"489 000 zł","Na Sprzedaż Kawalerka W Nowym Budownictwie,","1 pokój","34.48 m²","3 piętro","Bronowice","2013","tak"
"559 000 zł","Sprzedam Lublin,LSM-Oś.Piastowskie,54 m2,3 pokoje","3 pokoje","54 m²","1 piętro","Rury","1970","tak"
"1 280 000 zł","Ekskluzywny Apartament Zabudowa Szeregowa 92m2","4 pokoje","92 m²","1 piętro","Sławin","2020","nie"
"427 500 zł","Przedsprzedaż Nowa Inwestycja Na Botaniku","2 pokoje","37.5 m²","2 piętro","Sławin","2026","nie"
