"Price","Name","Rooms","Area","Floor","Region","Year","Elevator"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 3-pok. | C_18","3 pokoje","56.11 m²","parter","Ponikwoda","2026","tak"
"599 000 zł","3 pok. 56 mkw - stan dew. - Węglinek.","3 pokoje","56.44 m²","parter","Węglin Południowy","2024","tak"
"686 755 zł","Nowy Etap W Sprzedaży! Mieszkania Ponikwoda","4 pokoje","72.29 m²","3 piętro","Ponikwoda","2025","tak"
"445 000 zł","Mieszkanie na sprzedaż","3 pokoje","56.6 m²","2 piętro","Tatary","1964","nie"
"592 994 zł","Nowe 3Pokojowe Z Ogródkiem Dziesiąta","3 pokoje","55.42 m²","parter","Dziesiąta","2025","tak"
"507 603 zł","Nowe Mieszkanie 2Pokojowe Dziesiąta","2 pokoje","45.73 m²","2 piętro","Dziesiąta","2025","tak"
"623 492 zł","Nowe Mieszkanie 3Pokojowe Blisko Zalewu","3 pokoje","58.82 m²","3 piętro","Wrotków","2025","tak"
"379 785 zł","Nowy Etap W Sprzedaży! Mieszkania Ponikwoda","2 pokoje","36.17 m²","2 piętro","Ponikwoda","2025","tak"
"528 220 zł","Nowy Etap W Sprzedaży! Mieszkania Ponikwoda","3 pokoje","53.9 m²","1 piętro","Ponikwoda","2025","tak"
"410 640 zł","Nowe Mieszkanie 2Pokojowe Blisko Zalewu","2 pokoje","35.4 m²","2 piętro","Wrotków","2025","nie"
